Voxel_Number,X,Y,Z
1257,9,38,13
1258,9,38,14
1259,9,38,15
1260,9,38,16
1261,9,38,17
1262,9,38,18
1263,9,38,19
1264,9,38,20
1265,9,38,21
1266,9,38,22
1267,9,38,23
1268,9,38,24
1269,9,38,25
1270,9,38,26
1271,9,38,27
1272,9,38,28
1273,9,38,29
1274,9,38,30
1275,9,38,31
1276,9,38,32
1277,9,38,33
1278,9,38,34
1279,9,38,35
1280,9,38,36
1281,9,38,37
1282,9,38,38
1283,9,38,39
1284,9,38,40
1285,9,39,12
1286,9,39,13
1287,9,39,14
1288,9,39,15
1289,9,39,16
1290,9,39,17
1291,9,39,18
1292,9,39,19
1293,9,39,20
1294,9,39,21
1295,9,39,22
1296,9,39,23
1297,9,39,24
1298,9,39,25
1299,9,39,26
1300,9,39,27
1301,9,39,28
1302,9,39,29
1303,9,39,30
1304,9,39,31
1305,9,39,32
1306,9,39,33
1307,9,39,34
1308,9,39,35
1309,9,39,36
1310,9,39,37
1311,9,39,38
1312,9,39,39
1313,9,40,13
1314,9,40,14
1315,9,40,15
1316,9,40,16
1317,9,40,17
1318,9,40,18
1319,9,40,19
1320,9,40,20
1321,9,40,21
1322,9,40,22
1323,9,40,23
1324,9,40,24
1325,9,40,25
1326,9,40,26
1327,9,40,27
1328,9,40,28
1329,9,40,29
1330,9,40,30
1331,9,40,31
1332,9,40,32
1333,9,40,33
1334,9,40,34
1335,9,40,35
1336,9,40,36
1337,9,40,37
1338,9,40,38
1339,9,40,39
1340,9,41,13
1341,9,41,14
1342,9,41,15
1343,9,41,16
1344,9,41,17
1345,9,41,18
1346,9,41,19
1347,9,41,20
1348,9,41,21
1349,9,41,22
1350,9,41,23
1351,9,41,24
1352,9,41,25
1353,9,41,26
1354,9,41,27
1355,9,41,28
1356,9,41,29
1357,9,41,30
1358,9,41,31
1359,9,41,32
1360,9,41,33
1361,9,41,34
1362,9,41,35
1363,9,41,36
1364,9,41,37
1365,9,41,38
1366,9,41,39
1367,9,42,14
1368,9,42,15
1369,9,42,16
1370,9,42,17
1371,9,42,18
1372,9,42,19
1373,9,42,20
1374,9,42,21
1375,9,42,22
1376,9,42,23
1377,9,42,24
1378,9,42,25
1379,9,42,26
1380,9,42,27
1381,9,42,28
1382,9,42,29
1383,9,42,30
1384,9,42,31
1385,9,42,32
1386,9,42,33
1387,9,42,34
1388,9,42,35
1389,9,42,36
1390,9,42,37
1391,9,42,38
1392,9,43,15
1393,9,43,16
1394,9,43,17
1395,9,43,19
1396,9,43,20
1397,9,43,21
1398,9,43,22
1399,9,43,23
1400,9,43,24
1401,9,43,25
1402,9,43,26
1403,9,43,27
1404,9,43,28
1405,9,43,29
1406,9,43,30
1407,9,43,31
1408,9,43,32
1409,9,43,33
1410,9,43,34
1411,9,43,35
1412,9,43,36
1413,9,43,37
1414,9,43,38
1415,9,44,20
1416,9,44,21
1417,9,44,22
1418,9,44,23
1419,9,44,24
1420,9,44,25
1421,9,44,26
1422,9,44,27
1423,9,44,28
1424,9,44,29
1425,9,44,30
1426,9,44,31
1427,9,44,32
1428,9,44,33
1429,9,44,34
1430,9,44,35
1431,9,44,36
1432,9,44,37
1433,9,44,38
1434,9,45,20
1435,9,45,21
1436,9,45,22
1437,9,45,23
1438,9,45,24
1439,9,45,25
1440,9,45,26
1441,9,45,27
1442,9,45,28
1443,9,45,29
1444,9,45,30
1445,9,45,31
1446,9,45,32
1447,9,45,33
1448,9,45,34
1449,9,45,35
1450,9,45,36
1451,9,45,37
1452,9,46,21
1453,9,46,23
1454,9,46,24
1455,9,46,25
1456,9,46,26
1457,9,46,27
1458,9,46,28
1459,9,46,29
1460,9,46,30
1461,9,46,31
1462,9,46,32
1463,9,46,33
1464,9,46,34
1465,9,46,35
1466,9,46,36
1467,9,47,24
1468,9,47,25
1469,9,47,26
1470,9,47,27
1471,9,47,28
1472,9,47,29
1473,9,47,30
1474,9,47,31
1475,9,47,32
1476,9,47,33
1477,9,47,34
1478,9,47,35
1479,9,48,24
1480,9,48,25
1481,9,48,26
1482,9,48,27
1483,9,48,28
1484,9,48,29
1485,9,48,30
1486,9,48,31
1487,9,49,24
1488,9,49,25
1489,9,49,26
1490,9,49,27
1491,9,49,28
1492,9,49,29
1493,9,49,30
1494,9,49,31
1495,9,50,26
1496,9,50,27
1497,9,50,28
1498,9,50,29
1499,10,19,20
1500,10,19,21
1501,10,19,25
1502,10,19,26
1503,10,19,27
1504,10,20,20
1505,10,20,21
1506,10,20,22
1507,10,20,23
1508,10,20,25
1509,10,20,26
1510,10,20,27
1511,10,20,28
1512,10,20,29
1513,10,20,30
